run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,singletons_only,loss_ablation,use_bce_loss,use_mr_loss,use_ms_loss,train_loss,train_bce,train_mr,train_ms,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads,ablation_group
n7g1pxgf,run-20260404_180003-n7g1pxgf,chameleon,random_set,GAT,256,3,0.08178888668840448,0.02396748969362147,-1,False,full,False,False,False,0.5592290163040161,0.559100329875946,0.031193910166621208,,0.372488409280777,0.5564230680465698,0.4063926935195923,0.8400924801826477,0.3695652186870575,0.819514811038971,71.0,3,full_power_set,7,standard_focal_sets__full
axvbejya,run-20260404_180029-axvbejya,chameleon,random_set,GAT,128,2,0.09944865462135438,0.019694183594744265,-1,False,full,False,False,False,0.5548223853111267,0.5547123551368713,0.027590783312916756,,0.372488409280777,0.5520220398902893,0.4063926935195923,0.8377818465232849,0.3695652186870575,0.82431560754776,71.0,3,full_power_set,7,standard_focal_sets__full
3f5ml464,run-20260404_180045-3f5ml464,chameleon,random_set,GAT,256,3,0.0854780521400404,0.036440374282735,-1,False,full,False,False,False,0.581982433795929,0.5817084312438965,0.07731442153453827,,0.372488409280777,0.5799219012260437,0.4063926935195923,0.5399426221847534,0.3695652186870575,0.5161835551261902,82.0,3,full_power_set,7,standard_focal_sets__full
64cpg9wk,run-20260404_180135-64cpg9wk,chameleon,random_set,GAT,256,3,0.07059225661265567,0.014246211802582924,-1,False,full,False,False,False,0.5487400889396667,0.5486727952957153,0.01622205600142479,,0.372488409280777,0.5456893444061279,0.4063926935195923,0.8219021558761597,0.3695652186870575,0.8060286045074463,73.0,3,full_power_set,7,standard_focal_sets__full
izltem7e,run-20260404_180207-izltem7e,chameleon,random_set,GAT,256,2,0.06920065308146202,0.04276890125420553,-1,False,full,False,False,False,0.5921598076820374,0.5918315649032593,0.0956297218799591,,0.372488409280777,0.5903956890106201,0.4063926935195923,0.7633455395698547,0.3695652186870575,0.7595008015632629,59.0,3,full_power_set,7,standard_focal_sets__full
ggimxjah,run-20260404_180233-ggimxjah,chameleon,random_set,GAT,64,3,0.017951633929744627,0.024950571795456865,-1,False,full,False,False,False,0.563667893409729,0.5635080933570862,0.04069208726286888,,0.372488409280777,0.5609579682350159,0.4063926935195923,0.6232131123542786,0.3695652186870575,0.6452898979187012,66.0,3,full_power_set,7,standard_focal_sets__full
bw0th8we,run-20260404_180250-bw0th8we,chameleon,random_set,GAT,64,3,0.02817120846573405,0.04062288024419797,-1,False,full,False,False,False,0.5885267853736877,0.5882174372673035,0.08831986784934998,,0.372488409280777,0.586557924747467,0.4063926935195923,0.5011415481567383,0.3695652186870575,0.5,58.0,3,full_power_set,7,standard_focal_sets__full
n0fpt3vn,run-20260404_180306-n0fpt3vn,chameleon,random_set,GAT,256,3,0.09071887065486056,0.03296394984049197,-1,False,full,False,False,False,0.5684186816215515,0.5682269334793091,0.05192960426211357,,0.372488409280777,0.5661183595657349,0.4063926935195923,0.8267821669578552,0.3695652186870575,0.8137480020523071,64.0,3,full_power_set,7,standard_focal_sets__full
owx2ec1j,run-20260404_180328-owx2ec1j,chameleon,random_set,GAT,256,3,0.06929120018706336,0.02665248579403045,-1,False,full,False,False,False,0.5649386048316956,0.5647696852684021,0.044331327080726624,,0.372488409280777,0.5623951554298401,0.4063926935195923,0.8155431747436523,0.3695652186870575,0.800815224647522,66.0,3,full_power_set,7,standard_focal_sets__full
nf6o64z8,run-20260404_180349-nf6o64z8,chameleon,random_set,GAT,256,2,0.06297509091847006,0.02910243837669382,-1,False,full,False,False,False,0.5661109089851379,0.5659332871437073,0.04537201672792435,,0.372488409280777,0.5636383295059204,0.4063926935195923,0.8402453660964966,0.3695652186870575,0.8257045149803162,72.0,3,full_power_set,7,standard_focal_sets__full
